target,seed,method,source_method,round,base_hv,upper_hv,hv,gain_ratio,gap_to_upper
KIT,43,upper_bound,random,8,174.3249969482422,196.74545288085938,196.74545288085938,1.0,0.0
KIT,43,upper_bound,random,9,174.3249969482422,197.00311279296875,197.00311279296875,1.0,0.0
KIT,43,upper_bound,random,10,174.3249969482422,197.74871826171875,197.74871826171875,1.0,0.0
KIT,43,random,random,10,174.3249969482422,197.74871826171875,187.3133850097656,0.554497207668309,10.435333251953153
PARP1,43,upper_bound,random,0,197.93902587890625,197.93902587890625,197.93902587890625,0.0,0.0
PARP1,43,upper_bound,random,1,197.93902587890625,220.19912719726562,220.19912719726562,1.0,0.0
PARP1,43,upper_bound,random,2,197.93902587890625,221.2490234375,221.2490234375,1.0,0.0
PARP1,43,upper_bound,random,3,197.93902587890625,221.56236267089844,221.56236267089844,1.0,0.0
PARP1,43,upper_bound,random,4,197.93902587890625,222.47796630859375,222.47796630859375,1.0,0.0
PARP1,43,upper_bound,random,5,197.93902587890625,222.49549865722656,222.49549865722656,1.0,0.0
PARP1,43,upper_bound,random,6,197.93902587890625,223.19342041015625,223.19342041015625,1.0,0.0
PARP1,43,upper_bound,random,7,197.93902587890625,223.451904296875,223.451904296875,1.0,0.0
PARP1,43,upper_bound,random,8,197.93902587890625,223.56739807128906,223.56739807128906,1.0,0.0
PARP1,43,upper_bound,random,9,197.93902587890625,223.68328857421875,223.68328857421875,1.0,0.0
PARP1,43,upper_bound,random,10,197.93902587890625,223.77389526367188,223.77389526367188,1.0,0.0
PARP1,43,random,random,10,197.93902587890625,223.77389526367188,216.46128845214844,0.7169481795082906,7.3126068115234375
ESR2,44,upper_bound,random,0,160.93531799316406,160.93531799316406,160.93531799316406,0.0,0.0
ESR2,44,upper_bound,random,1,160.93531799316406,183.1536407470703,183.1536407470703,1.0,0.0
ESR2,44,upper_bound,random,2,160.93531799316406,184.13528442382812,184.13528442382812,1.0,0.0
ESR2,44,upper_bound,random,3,160.93531799316406,187.080810546875,187.080810546875,1.0,0.0
ESR2,44,upper_bound,random,4,160.93531799316406,188.2629852294922,188.2629852294922,1.0,0.0
ESR2,44,upper_bound,random,5,160.93531799316406,188.9871826171875,188.9871826171875,1.0,0.0
ESR2,44,upper_bound,random,6,160.93531799316406,192.54136657714844,192.54136657714844,1.0,0.0
ESR2,44,upper_bound,random,7,160.93531799316406,192.87013244628906,192.87013244628906,1.0,0.0
ESR2,44,upper_bound,random,8,160.93531799316406,194.29718017578125,194.29718017578125,1.0,0.0
ESR2,44,upper_bound,random,9,160.93531799316406,194.3539276123047,194.3539276123047,1.0,0.0
ESR2,44,upper_bound,random,10,160.93531799316406,194.47772216796875,194.47772216796875,1.0,0.0
ESR2,44,random,random,10,160.93531799316406,194.47772216796875,179.7501220703125,0.5609259246622859,14.72760009765625
F2,44,upper_bound,random,0,172.4484405517578,172.4484405517578,172.4484405517578,0.0,0.0
F2,44,upper_bound,random,1,172.4484405517578,191.86358642578125,191.86358642578125,1.0,0.0
F2,44,upper_bound,random,2,172.4484405517578,193.80816650390625,193.80816650390625,1.0,0.0
F2,44,upper_bound,random,3,172.4484405517578,193.97239685058594,193.97239685058594,1.0,0.0
F2,44,upper_bound,random,4,172.4484405517578,194.3865509033203,194.3865509033203,1.0,0.0
F2,44,upper_bound,random,5,172.4484405517578,194.8979034423828,194.8979034423828,1.0,0.0
