panel_id,compound_id,compound_name,cell_line,plate_id,source_sheet,measurement_type,replicate,od450
M5,T6980,Scriptaid,LoVo,2,LOVO 2,blank,1,0.2089
M5,T6980,Scriptaid,LoVo,2,LOVO 2,blank,2,0.1969
M5,T6980,Scriptaid,LoVo,2,LOVO 2,blank,3,0.2136
M6,T60904,ERCC1-XPF-IN-2,LoVo,2,LOVO 2,treatment,1,1.1035
M6,T60904,ERCC1-XPF-IN-2,LoVo,2,LOVO 2,treatment,2,1.1238
M6,T60904,ERCC1-XPF-IN-2,LoVo,2,LOVO 2,treatment,3,1.1202
M6,T60904,ERCC1-XPF-IN-2,LoVo,2,LOVO 2,normalization_reference,1,1.4387
M6,T60904,ERCC1-XPF-IN-2,LoVo,2,LOVO 2,normalization_reference,2,1.4317
M6,T60904,ERCC1-XPF-IN-2,LoVo,2,LOVO 2,normalization_reference,3,1.3892
M6,T60904,ERCC1-XPF-IN-2,LoVo,2,LOVO 2,blank,1,0.2089
