target,method,round,hv_mean,hv_sd,delta_vs_greedy_round_hv_mean,threshold_rate_mean,mean_selected_dock_mean,candidate_test_spearman_mean,candidate_test_cov2_mean,train_seconds_mean,score_seconds_mean
F2,greedy_mean,10,194.13412170410157,1.8487111075222464,0.0,0.022,-9.6674,0.8352818925356189,0.9563909597534904,280.1070600092411,61.709003892168404
F2,qnehvi_mc,1,180.61516723632812,2.3100053462094436,-1.06820068359375,0.0,-7.758799999999999,0.6603484178727903,0.9377343998981731,117.37026422098279,6.16617880910635
F2,qnehvi_mc,2,187.0645751953125,1.375663769023604,1.0241485595703181,0.052000000000000005,-9.1102,0.8002116078041869,0.949044857841377,119.30864835828542,6.4974641934037205
F2,qnehvi_mc,3,188.91033630371095,1.8329591933404084,1.2434722900390796,0.033999999999999996,-8.9894,0.818073043721743,0.9559012683597921,149.7472069632262,6.145179659500718
F2,qnehvi_mc,4,192.10890197753906,2.410615989764501,3.2782989501953184,0.038,-9.076600000000001,0.8120715773352188,0.9537046739054112,152.66464356072248,8.237522064894439
F2,qnehvi_mc,5,194.06390380859375,2.011844197170839,3.9737457275390513,0.03,-9.0414,0.8203714152543276,0.9554585642915427,172.11198876872658,8.565715147927403
F2,qnehvi_mc,6,195.03112182617187,1.3364576410054305,3.7339233398437615,0.024,-9.0394,0.833683133071823,0.9557555368149313,194.0128330849111,8.85918799713254
F2,qnehvi_mc,7,195.73300476074218,0.7308464590499535,3.3511474609375114,0.032,-9.044,0.8317091516209623,0.9548544583725024,206.49434038996696,9.583093651384115
F2,qnehvi_mc,8,196.22885131835938,1.0332914246630491,3.2640808105468806,0.034,-9.0194,0.8364595831339473,0.9485084425697934,222.91443756744266,9.926195897907018
F2,qnehvi_mc,9,196.4341796875,1.012699659525825,3.2103851318359373,0.024,-9.0474,0.8371546317624711,0.9466963198789173,256.44256413169205,10.26871219612658
F2,qnehvi_mc,10,196.81061401367188,0.5789533772089336,2.676492309570307,0.032,-9.052,0.8375813922767079,0.9523225574052712,272.35618323162197,10.81065024919808
F2,qnparego_mc,1,182.28131713867188,2.1266130647726005,0.59794921875,0.014000000000000002,-8.1982,0.6729800398714079,0.9472393460189673,106.55969104841351,3.4036387618631125
F2,qnparego_mc,2,184.9778625488281,0.7298584235912553,-1.0625640869140625,0.038,-8.774,0.7778289794834267,0.9547636683506804,129.25478226840497,3.192290351912379
F2,qnparego_mc,3,186.89713439941406,1.0037874440480228,-0.7697296142577954,0.026000000000000002,-8.8416,0.8052716573553396,0.9579867131774489,134.09327089451253,3.2424383759498596
F2,qnparego_mc,4,189.04331970214844,2.438088576052901,0.21271667480469886,0.024,-8.9118,0.8102230457724804,0.9545599149734771,163.94363221265377,3.22992529720068
F2,qnparego_mc,5,190.28282775878907,2.18323858410285,0.19266967773435795,0.028000000000000004,-8.830400000000001,0.8147802844464298,0.9584908223177777,162.76952088996768,3.3155378703027965
F2,qnparego_mc,6,190.96874389648437,2.070886110676374,-0.32845458984373865,0.022,-8.9916,0.8339832893880625,0.9559582649310853,198.521003677696,3.2770569156855345
F2,qnparego_mc,7,191.717578125,2.277970585881746,-0.6642791748046932,0.032,-9.0688,0.8345560685816913,0.9572479865640036,218.68967172205447,3.3951287403702737
F2,qnparego_mc,8,192.0555847167969,1.8469080804366536,-0.9091857910156194,0.030000000000000006,-9.0852,0.8424545141737838,0.9497875736837986,230.29901549331845,3.2417646281421186
F2,qnparego_mc,9,192.46007690429687,1.2865770290165257,-0.7637176513671988,0.016,-9.3326,0.8377104978175322,0.9513814859317551,253.72139025479555,3.24469279833138
F2,qnparego_mc,10,193.18394165039064,0.6274493403805183,-0.9501800537109432,0.022,-9.1746,0.8337029740608128,0.948310253076815,271.31399792023,3.3027776788920162
F2,random,1,173.6417724609375,1.2817269439831658,-8.041595458984375,0.002,-8.084999999999999,0.6961872555380559,0.9535106450413865,116.14670082107186,3.3379174757748844
